GEO_ID,Jurisdiction,2016,2020,2020 as % of 2016,10/04/20,10/11/20,10/18/20
0500000US28001,ADAMS,1444,1148,79.50%,427,759,1148
0500000US28003,ALCORN,1467,743,50.65%,304,480,743
0500000US28005,AMITE,859,414,48.20%,159,283,414
0500000US28007,ATTALA,817,434,53.12%,144,252,434
0500000US28009,BENTON,578,412,71.28%,157,272,412
0500000US28011,BOLIVAR,737,553,75.03%,179,300,553
0500000US28013,CALHOUN,568,399,70.25%,136,250,399
0500000US28015,CARROLL,624,326,52.24%,74,177,326
0500000US28017,CHICKASAW,649,471,72.57%,128,296,471
0500000US28019,CHOCTAW,360,145,40.28%,25,79,145
0500000US28021,CLAIBORNE,909,613,67.44%,271,451,613
0500000US28023,CLARKE,757,406,53.63%,56,193,406
0500000US28025,CLAY,1125,692,61.51%,250,447,692
0500000US28027,COAHOMA,676,0,0.00%,0,0,0
0500000US28029,COPIAH,950,747,78.63%,292,512,747
0500000US28031,COVINGTON,867,482,55.59%,148,231,482
0500000US28033,DESOTO,6140,5178,84.33%,1793,3373,5178
0500000US28035,FORREST,1828,1712,93.65%,576,1056,1712
0500000US28037,FRANKLIN,517,267,51.64%,71,180,267
0500000US28039,GEORGE,816,540,66.18%,193,341,540
0500000US28041,GREENE,843,510,60.50%,186,307,510
0500000US28043,GRENADA,1535,1247,81.24%,555,875,1247
0500000US28045,HANCOCK,1872,1652,88.25%,762,1108,1652
0500000US28047,HARRISON,5334,7484,140.31%,3545,5122,7484
0500000US28049,HINDS,5314,8195,154.22%,3245,5245,8195
0500000US28051,HOLMES,932,497,53.33%,117,310,497
0500000US28053,HUMPHREYS,563,272,48.31%,110,168,272
0500000US28055,ISSAQUENA,57,25,43.86%,4,19,25
0500000US28057,ITAWAMBA,517,325,62.86%,114,212,325
0500000US28059,JACKSON,3077,3934,127.85%,1429,2478,3934
0500000US28061,JASPER,875,581,66.40%,231,417,581
0500000US28063,JEFFERSON,752,350,46.54%,137,239,350
0500000US28065,JEFF DAVIS,503,549,109.15%,194,361,549
0500000US28067,JONES,2056,1236,60.12%,314,778,1236
0500000US28069,KEMPER,520,234,45.00%,78,137,234
0500000US28071,LAFAYETTE,2185,2941,134.60%,1382,2085,2941
0500000US28073,LAMAR,1910,1292,67.64%,524,797,1292
0500000US28075,LAUDERDALE,3140,2223,70.80%,1020,1573,2223
0500000US28077,LAWRENCE,0,238,0.00%,58,149,238
0500000US28079,LEAKE,843,554,65.72%,198,355,554
0500000US28081,LEE,2048,2119,103.47%,776,1366,2119
0500000US28083,LEFLORE,1167,690,59.13%,253,412,690
0500000US28085,LINCOLN,1526,864,56.62%,254,519,864
0500000US28087,LOWNDES,2127,1602,75.32%,548,1104,1602
0500000US28089,MADISON,3932,4276,108.75%,1788,2934,4276
0500000US28091,MARION,1343,784,58.38%,334,513,784
0500000US28093,MARSHALL,1297,834,64.30%,229,532,834
0500000US28095,MONROE,1148,930,81.01%,330,593,930
0500000US28097,MONTGOMERY,774,508,65.63%,173,310,508
0500000US28099,NESHOBA,863,494,57.24%,163,313,494
0500000US28101,NEWTON,790,553,70.00%,214,385,553
0500000US28103,NOXUBEE,1036,433,41.80%,103,221,433
0500000US28105,OKTIBBEHA,1571,1090,69.38%,322,716,1090
0500000US28107,PANOLA,1520,918,60.39%,219,470,918
0500000US28109,PEARL RIVER,2561,1749,68.29%,720,1231,1749
0500000US28111,PERRY,482,298,61.83%,99,178,298
0500000US28113,PIKE,1774,1658,93.46%,717,1136,1658
0500000US28115,PONTOTOC,936,677,72.33%,271,456,677
0500000US28117,PRENTISS,584,365,62.50%,105,216,365
0500000US28119,QUITMAN,571,267,46.76%,79,164,267
0500000US28121,RANKIN,6218,6156,99.00%,2751,4310,6156
0500000US28123,SCOTT,602,416,69.10%,165,277,416
0500000US28125,SHARKEY,255,138,54.12%,54,96,138
0500000US28127,SIMPSON,839,578,68.89%,169,349,578
0500000US28129,SMITH,627,289,46.09%,61,175,289
0500000US28131,STONE,602,451,74.92%,150,278,451
0500000US28133,SUNFLOWER,478,607,126.99%,201,394,607
0500000US28135,TALLAHATCHIE,480,263,54.79%,94,152,263
0500000US28137,TATE,964,597,61.93%,217,401,597
0500000US28139,TIPPAH,716,467,65.22%,157,301,467
0500000US28141,TISHOMINGO,673,426,63.30%,136,275,426
0500000US28143,TUNICA,231,101,43.72%,29,55,101
0500000US28145,UNION,863,676,78.33%,224,449,676
0500000US28147,WALTHALL,977,381,39.00%,128,239,381
0500000US28149,WARREN,1784,1600,89.69%,639,1107,1600
0500000US28151,WASHINGTON,1828,2610,142.78%,1100,1723,2610
0500000US28153,WAYNE,1021,557,54.55%,226,391,557
0500000US28155,WEBSTER,371,186,50.13%,39,128,186
0500000US28157,WILKINSON,374,114,30.48%,34,65,114
0500000US28159,WINSTON,1178,859,72.92%,337,590,859
0500000US28161,YALOBUSHA,523,403,77.06%,146,255,403
0500000US28163,YAZOO,544,494,90.81%,221,350,494
0500000US28000,MISSISSIPPI,105714,89499,84.66%,34561,58796,89499
