County,65+,Perm. Disability,Temp. Disability,Military,Out of County,Out of Country,Out of State,Runoff Ballot,Students on Campus,Work Hours,County Total
Adams,291,50,246,2,198,10,122,0,30,199,1148
Alcorn,264,29,207,5,161,7,3,0,22,45,743
Amite,147,2,47,4,100,3,41,0,11,59,414
Attala,121,31,47,2,210,3,7,0,6,7,434
Benton,143,72,91,3,72,0,0,0,5,26,412
Bolivar,165,0,159,0,163,1,1,0,28,36,553
Calhoun,150,8,93,7,95,0,2,0,16,28,399
Carroll,0,8,67,4,244,0,1,0,2,0,326
Chickasaw,227,0,126,7,95,2,0,0,9,5,471
Choctaw,33,3,37,1,58,0,0,0,8,5,145
Claiborne,179,108,83,1,174,2,1,0,8,57,613
Clarke,127,0,89,2,139,3,7,0,15,24,406
Clay,355,26,138,3,121,1,8,0,7,33,692
Copiah,283,0,261,1,154,1,12,0,17,18,747
Covington,147,1,135,2,162,0,8,0,5,22,482
DeSoto,2081,54,980,36,1418,37,20,0,156,396,5178
Forrest,203,20,225,14,1205,18,17,0,3,7,1712
Franklin,64,1,63,0,75,5,4,0,8,47,267
George,112,3,103,13,241,2,18,0,6,42,540
Greene,110,4,58,1,297,1,0,0,3,36,510
Grenada,493,22,388,3,239,1,12,0,15,74,1247
Hancock,790,0,270,20,326,32,65,0,41,108,1652
Harrison,2950,29,1483,118,1857,63,4,0,146,834,7484
Hinds,3930,156,1607,27,1400,so,69,3,204,749,8195
Holmes,230,37,104,1,89,1,11,0,6,18,497
Humphreys,96,17,70,1,47,1,4,0,7,29,272
Issaqunea,3,0,0,0,16,0,0,0,0,6,25
Itawamba,79,15,105,3,86,4,1,0,9,23,325
Jackson,1210,4,1065,49,1255,51,3,0,64,233,3934
Jasper,1,0,153,0,412,0,6,0,2,7,581
Jefferson,112,42,45,1,122,0,17,0,3,8,350
Jefferson Davis,185,62,66,4,142,4,9,0,6,71,549
Jones,357,0,481,18,259,6,13,0,18,84,1236
Kemper,76,0,74,2,42,0,2,0,5,33,234
Lafayette,1523,34,343,15,824,41,40,0,16,105,2941
Lamar,355,17,262,21,469,13,23,0,46,86,1292
Lauderdale,436,274,516,37,701,1,0,0,66,192,2223
Lawrence,16,41,7,3,151,0,0,0,1,19,238
Leake,165,21,119,2,136,0,8,0,9,94,554
Lee,919,0,547,7,380,16,0,0,70,180,2119
Leflore,362,0,113,0,74,0,29,0,18,94,690
Lincoln,263,0,202,7,248,11,0,0,31,102,864
Lowndes,494,1,661,31,310,16,14,0,21,54,1602
Madiso n,1775,88,864,26,879,27,62,0,221,334,4276
Mario n,247,22,176,5,233,10,17,0,20,54,784
Marshall,309,19,264,7,90,5,57,0,23,60,834
Monroe,346,7,292,6,211,7,0,0,17,44,930
Montgomery,223,15,60,0,159,1,0,0,16,34,508
Neshoba,78,1,70,3,330,2,0,0,9,1,494
Newton,96,4,221,16,110,2,6,0,15,83,553
Noxubee,112,0,201,6,81,1,0,0,3,29,433
Oktibbeha,583,128,111,0,81,0,138,0,24,25,1090
Panola,422,0,246,6,181,3,3,0,15,42,918
Pearl River,572,5,321,10,603,13,30,0,8,187,1749
Perry,9,44,48,5,190,0,2,0,0,0,298
Pike,910,0,272,11,173,15,161,0,31,85,1658
Pontotoc,276,0,215,4,157,0,0,0,10,15,677
Prentiss,100,21,116,7,74,0,2,0,9,36,365
Quitman,174,0,49,5,16,0,1,1,5,16,267
Rankin,2659,0,1174,57,928,47,461,0,217,613,6156
Scott,53,23,118,7,156,4,22,0,6,27,416
Sharkey,38,0,60,0,24,2,0,0,3,11,138
Simpson,167,0,162,0,211,0,6,0,4,28,578
Smith,84,0,18,1,179,0,5,0,2,0,289
Stone,7,0,116,2,306,8,6,0,3,3,451
Sunflower,161,0,287,6,101,0,1,0,11,40,607
Tallahatchie,71,0,59,4,107,1,6,0,0,15,263
Tate,204,1,163,6,155,4,4,0,19,41,597
Tippah,125,10,170,1,124,0,2,0,8,27,467
Tishomingo,145,45,71,5,137,1,2,0,1,19,426
Tunica,49,0,21,0,24,0,2,0,2,3,101
Union,257,1,167,0,240,1,0,0,3,7,676
Walthall,85,1,132,0,146,2,0,0,1,14,381
Warren,592,85,385,8,348,14,26,0,39,103,1600
Washington,1106,0,550,5,447,7,8,0,34,453,2610
Wayne,137,23,125,4,145,5,11,0,22,85,557
Webster,54,26,15,1,52,1,0,0,8,29,186
Wilkinson,24,7,7,0,49,0,2,0,7,18,114
Winston,429,0,161,3,199,3,7,0,26,31,859
Yalobusha,120,0,125,1,120,2,1,0,6,28,403
Yazoo,199,0,103,7,99,2,0,0,13,71,494
