County,65+,Perm. Disability,Temp. Disability,Military,Out of County,Out of Country,Out of State,Runoff Ballot,Students on Campus,Work Hours,County Total
Adams,555,79,601,4,392,15,216,0,84,355,2301
Alcorn,422,50,468,14,321,11,12,0,92,92,1482
Amite,256,3,127,8,208,3,78,0,32,119,834
Attala,193,61,279,6,481,3,42,0,21,27,1113
Benton,213,117,155,4,133,0,2,0,19,64,707
Bolivar,326,0,455,17,376,4,4,0,67,113,1362
Calhoun,208,13,231,9,145,1,19,0,33,51,710
Carroll,1,15,180,8,480,0,1,0,15,0,700
Chickasaw,350,0,293,11,210,2,8,0,21,25,920
Choctaw,84,8,110,8,101,0,4,0,16,16,347
Claiborne,287,174,165,2,348,2,1,0,19,111,1109
Clarke,214,0,205,3,272,9,46,0,45,40,834
Clay,613,44,347,13,201,1,26,0,30,74,1349
Coahoma,646,25,205,5,113,5,11,0,49,36,1095
Copiah,521,0,532,12,293,3,34,0,50,36,1481
Covington,246,1,334,3,358,1,19,0,15,63,1040
DeSoto,3518,86,2051,109,2615,82,60,0,570,707,9798
Forrest,359,57,586,53,2055,34,201,0,9,8,3362
Franklin,93,3,135,4,146,9,12,0,28,99,529
George,172,9,204,15,406,4,73,0,26,69,978
Greene,189,9,126,8,573,1,2,0,11,45,964
Grenada,716,29,684,16,420,1,25,0,51,147,2089
Hancock,1173,0,462,41,545,45,210,0,131,186,2793
Harrison,4691,47,2795,286,3291,131,46,1,559,1509,13356
Hinds,5751,479,3453,129,2496,108,237,3,597,1160,14413
Holmes,349,58,311,6,172,1,47,0,22,45,1011
Humphreys,172,63,194,5,88,1,14,0,18,65,620
Issaquena,11,0,3,0,29,0,0,0,0,16,59
Itawamba,150,27,219,12,147,5,4,0,27,41,632
Jackson,1794,5,2303,119,2075,94,5,0,382,425,7202
Jasper,14,0,368,0,743,0,20,0,10,16,1171
Jefferson,218,74,95,1,235,1,48,0,11,25,708
Jefferson Davis,295,122,116,10,255,5,31,0,24,119,977
Jones,675,0,1006,48,654,9,49,0,86,178,2705
Kemper,142,4,207,12,100,0,2,0,14,124,605
Lafayette,2007,42,644,47,1329,75,180,0,35,187,4546
Lamar,614,40,699,72,918,39,112,0,202,221,2917
Lauderdale,636,403,729,101,1072,2,0,0,130,313,3386
Lawrence,40,74,13,4,449,0,0,0,3,37,620
Leake,286,43,243,9,264,0,14,0,29,195,1083
Lee,1447,2,1029,35,766,34,2,0,215,308,3838
Leflore,576,8,883,0,196,1,72,0,58,192,1986
Lincoln,436,0,508,14,450,13,14,0,91,187,1713
Lowndes,885,2,1276,105,693,50,48,0,71,170,3300
Madison,2582,110,1552,71,1589,56,240,0,627,587,7414
Marion,376,36,343,12,438,17,57,0,60,104,1443
Marshall,551,30,550,15,190,6,91,0,77,147,1657
Monroe,588,11,675,16,437,17,0,0,49,91,1884
Montgomery,341,43,149,2,227,1,0,0,34,78,875
Neshoba,136,3,208,16,568,5,6,0,25,10,977
Newton,151,4,394,27,176,4,14,0,51,174,995
Noxubee,228,0,565,10,150,1,1,0,13,65,1033
Oktibbeha,962,221,313,22,211,29,307,0,115,57,2237
Panola,669,0,593,15,453,5,15,0,46,93,1889
Pearl River,1007,9,752,40,1042,36,145,0,60,364,3455
Perry,26,68,126,9,335,2,32,0,10,0,608
Pike,1299,0,532,21,295,18,322,0,89,180,2756
Pontotoc,440,1,400,14,278,2,8,0,40,65,1248
Prentiss,194,42,277,15,159,0,6,0,30,77,800
Quitman,285,0,121,10,32,0,4,1,17,31,501
Rankin,4056,1,2382,138,1616,79,897,2,556,1134,10861
Scott,91,27,255,13,320,4,48,0,19,52,829
Sharkey,82,0,152,0,45,2,10,0,9,31,331
Simpson,262,0,336,9,499,0,31,0,19,33,1189
Smith,231,1,47,2,376,0,45,0,7,4,713
Stone,16,0,238,9,575,9,40,0,24,6,917
Sunflower,290,0,577,15,211,1,4,0,30,78,1206
Tallahatchie,132,3,244,7,232,1,24,0,5,49,697
Tate,350,1,342,10,284,7,26,0,51,70,1141
Tippah,208,13,295,3,238,5,13,0,30,61,866
Tishomingo,248,63,210,15,246,2,6,0,10,41,841
Tunica,86,0,44,2,71,1,23,0,16,10,253
Union,378,2,324,9,430,8,9,0,14,18,1192
Walthall,139,7,361,2,326,3,0,0,7,33,878
Warren,901,129,645,32,619,25,115,0,146,223,2835
Washington,1592,0,1473,25,814,7,26,1,108,897,4943
Wayne,198,32,223,15,228,8,34,0,49,196,983
Webster,100,38,77,6,105,1,0,0,22,50,399
Wilkinson,105,31,38,3,110,1,6,0,15,66,375
Winston,631,0,313,13,337,3,35,0,54,48,1434
Yalobusha,226,0,216,5,229,4,7,0,20,48,755
Yazoo,307,0,232,15,208,3,6,0,28,133,932
Mississippi,53008,3202,42603,2051,42313,1178,4704,8,6600,13420,169087
