County,65+,Perm. Disability,Temp. Disability,Military,Out of County,Out of Country,Out of State,Runoff Ballot,Students on Campus,Work Hours,County Total
Adams,243,81,345,4,91,15,96,0,38,92,1005
Alcorn,119,51,212,10,78,11,11,0,18,22,532
Amite,82,3,58,8,49,3,41,0,5,23,272
Attala,43,55,6,4,84,2,5,0,3,1,203
Benton,64,33,32,3,22,0,0,0,2,12,168
Bolivar,118,0,208,9,109,1,2,0,25,17,489
Calhoun,60,13,97,5,37,1,5,0,5,5,228
Carroll,0,16,80,5,78,0,1,0,10,0,190
Chickasaw,77,0,99,6,43,2,7,0,2,2,238
Choctaw,7,8,24,7,15,0,0,0,0,1,62
Claiborne,106,133,67,1,98,2,1,0,5,22,435
Clarke,14,0,124,2,45,5,8,0,17,4,219
Clay,125,43,103,6,50,1,5,0,8,9,350
Coahoma,230,25,93,0,30,2,7,0,15,4,406
Copiah,120,0,290,1,61,1,19,0,22,13,527
Covington,74,1,206,3,94,0,1,0,5,8,392
DeSoto,1023,88,631,57,641,49,29,0,143,144,2805
Forrest,240,56,128,30,565,21,94,0,10,7,1151
Franklin,15,3,89,3,22,5,7,0,8,18,170
George,41,9,127,11,108,2,38,0,9,22,367
Greene,54,9,68,5,179,1,0,0,4,0,320
Grenada,246,29,370,6,116,1,13,0,14,15,810
Hancock,451,0,282,26,150,34,107,0,63,39,1152
Harrison,1993,47,1573,179,1224,100,26,0,208,362,5712
Hinds,2221,474,1110,58,672,65,57,1,123,352,5133
Holmes,74,58,189,3,41,0,26,0,5,0,396
Humphreys,45,2,27,4,20,0,2,0,3,16,119
Issaquena,1,0,0,0,4,0,0,0,0,0,5
Itawamba,31,19,120,8,45,2,1,0,6,6,238
Jackson,596,5,872,73,754,69,5,0,156,86,2616
Jasper,2,0,244,0,222,0,11,0,5,11,495
Jefferson,86,73,51,1,57,1,32,0,2,3,306
Jefferson Davis,76,87,63,5,72,3,8,0,6,18,338
Jones,173,0,651,21,109,5,31,0,32,36,1058
Kemper,30,0,65,10,24,0,2,0,5,19,155
Lafayette,879,42,359,34,470,62,104,0,14,38,2002
Lamar,236,40,452,49,230,31,80,0,112,32,1262
Lauderdale,213,404,234,51,369,0,0,0,17,80,1368
Lawrence,16,67,8,3,133,0,0,0,1,8,236
Leake,94,43,126,3,65,0,6,0,8,30,375
Lee,526,0,642,17,180,24,1,0,78,62,1530
Leflore,151,8,242,0,25,1,19,0,15,39,500
Lincoln,109,0,79,8,90,11,0,0,7,34,338
Lowndes,234,2,747,60,149,37,31,0,24,17,1301
Madison,1110,105,898,15,357,20,118,0,262,134,3019
Marion,125,35,175,8,87,12,11,0,9,17,479
Marshall,136,30,308,11,25,6,33,0,27,20,596
Monroe,164,9,349,10,120,11,0,0,16,16,695
Montgomery,88,41,86,1,74,0,0,0,9,7,306
Neshoba,22,3,114,9,132,4,6,0,10,5,305
Newton,41,4,259,20,49,3,5,0,19,51,451
Noxubee,71,0,316,7,52,1,0,0,3,16,466
Oktibbeha,213,215,149,10,29,19,81,0,64,5,785
Panola,118,0,173,6,68,2,5,0,6,14,392
Pearl River,356,9,436,21,301,20,53,0,29,77,1302
Perry,13,66,38,3,79,0,14,0,7,0,220
Pike,483,0,280,13,72,10,92,0,32,28,1010
Pontotoc,149,0,224,12,85,1,4,0,7,9,491
Prentiss,64,43,124,8,37,0,6,0,7,10,299
Quitman,104,0,41,9,11,0,2,0,3,4,174
Rankin,1458,0,1309,72,418,46,284,0,186,269,4042
Scott,29,27,129,9,55,2,26,0,3,9,289
Sharkey,18,0,49,0,7,0,0,0,2,5,81
Simpson,64,0,199,5,80,0,12,0,7,12,379
Smith,124,0,30,2,77,0,22,0,5,2,262
Stone,9,0,159,7,153,7,19,0,14,4,372
Sunflower,72,0,315,11,53,1,0,0,12,17,481
Tallahatchie,42,0,74,4,73,0,8,0,2,5,208
Tate,101,1,220,10,73,6,15,0,25,11,462
Tippah,44,13,175,1,65,2,7,0,11,15,333
Tishomingo,65,63,57,10,56,2,1,0,1,9,264
Tunica,25,0,18,1,12,0,1,0,0,1,58
Union,90,2,186,5,94,8,2,0,8,1,396
Walthall,40,0,107,0,88,2,0,0,0,4,241
Warren,303,122,359,19,146,21,38,0,39,46,1093
Washington,548,0,763,9,222,4,19,0,25,173,1763
Wayne,78,34,134,7,76,4,19,0,16,37,405
Webster,19,38,32,3,27,0,0,0,4,3,126
Wilkinson,13,26,6,2,15,0,2,0,3,8,75
Winston,185,0,161,5,81,2,14,0,14,13,475
Yalobusha,52,0,101,2,60,4,6,0,3,10,238
Yazoo,99,0,136,11,62,2,3,0,9,38,360
Mississippi,18073,2913,20282,1157,11291,792,1867,1,2157,2834,61367
