county_name,precinct_name,name,address,status
Adams,Bellemont Precinct,ELKS LODGE,"241 LOWER WOODVILLE RD., NATCHEZ, MS 39120",Relocated
Adams,By-Pass Fire Precinct,BY-PASS FIRE STATION,"467 JOHN R JUNKIN DR., NATCHEZ, MS 39120",Relocated
Adams,Beau Pre Precinct,CHURCH OF CHRIST,"2 BEAU PRE RD., NATCHEZ, MS 39120",Relocated
Adams,Kingston Precinct,KINGSTON FIRE STATION,"575 KINGSTON RD., NATCHEZ, MS 39120",Relocated
Adams,Liberty Park Precinct,MS NAT GUARD ARMORY,"329 LIBERTY RD., NATCHEZ, MS 39120",Relocated
Adams,Thompson Precinct,THOMPSON SCHOOL,"1038 N. UNION ST., NATCHEZ, MS 39120",Closed
Alcorn,East Third Street,SKATELAND,"2031 E 3RD ST, CORINTH, MS 38834",Closed
Alcorn,North Corinth,SPORTSPLEX,"SPORTSPLEX 1911 WEBSTER ST, CORINTH, MS 38834",Relocated
Amite,Gloster,GLOSTER TRANSFER/COMPACTOR,"1763A GEORGIA PACIFIC RD #2, GLOSTER, MS 39638",Relocated
Amite,South Liberty,S. LIBERTY/COURTHOUSE,"243 W MAIN ST, LIBERTY, MS 39645",Closed
Amite,Street,STREET VOLUNTEER FIRE DEPT.,"2181B MS HWY 569 S, LIBERTY, MS 39645",Closed
Attala,Aponaug,METHODIST PROTESTANT CHURCH,"162 APONAUG ROAD, KOSCIUSKO, MS 3909",Closed
Attala,East,KOSCIUSKO HIGH SCHOOL,"VETERANS MEMORIAL DRIVE, KOSCIUSKO, MS 39090",Relocated
Attala,Possumneck,COMMUNITY HOUSE,"ATTALA ROAD 3231, KOSCIUSKO, MS 39090",Relocated
Attala,Williamsville,COMMUNITY HOUSE,"WILLIAMSVILLE ROAD, KOSCIUSKO, MS 39090",Relocated
Bolivar,Choctaw,CHOCTAW,"STAND ALONE BUILDING- OLD HIGHWAY #61 AND STATE HIGHWAY #450, SHAW, MS 38773",Relocated
Bolivar,Eastgate,EASTGATE,"CAMILLA APARTMENTS ADMINISTRATIVE BUILDING- 1300 CROSS ST EAST, CLEVELAND, MS 38732",Relocated
Bolivar,North West Cleveland,NORTH WEST CLEVELAND,"WALTER SILLERS COLISEUM- WEST SUNFLOWER ROAD, CLEVELAND, MS 38732",Relocated
Bolivar,Shaw,SHAW,"SHAW EDUCATIONAL AND CULTRAL CENTER- 125 PEELER AVE, SHAW, MS 38773",Relocated
Calhoun,Vardaman,VARDAMAN FIRE DEPT.,"109 N. RUSSELL ST. (FIRE DEPT.), VARDAMAN, MS 38878",Relocated
Carroll,Carrollton,CARROLLTON COURTHOUSE BOARD ROOM,"600 LEXINGTON ST, CARROLLTON, MS 38917",Relocated
Choctaw,Southwest Ackerman,ACKERMAN ELEMENTARY SCHOOL,"8475 MS HIGHWAY 15, ACKERMAN, MS 39735",Relocated
Claiborne,County Precinct 1-A,MAGNOLIA CHURCH,,Closed
Claiborne,County Precinct 3-A,OLD NATIONAL GUARD ARMORY,,Closed
Clarke,Energy,ENERGY VOTING HOUSE,"8841 CO. RD. 514, MERIDIAN, MS 39301",Relocated
Clarke,Harmony Dist. 1,MEETING PLACE,"1849 HWY 18 W, QUITMAN, MS 39355",Relocated
Clarke,Manassa,MANASSA COMM CTR,"3867 CO. RD. 511, QUITMAN, MS 39355",Relocated
Clarke,Pachuta,PACHUTA TOWN HALL,"15537 HWY 11, PACHUTA, MS 39347",Relocated
Clarke,Pineridge,PINERIDGE COMM CTR,"17130 HWY 18 E., QUITMAN, MS 39355",Closed
Clarke,Stonewall Dist. 1,STNW 1 VOTING HOUSE,"6803 HWY 513, STONEWALL, MS 39363",Relocated
Clay,Cairo,CAIRO VOTER BUILDING,"10851 HIGHWAY 46, CEDAR BLUFF, MS 39741",Relocated
Clay,Caradine,CARADINE VOTER BUILDING,"14252 UNA-BRAND ROAD, PRAIRIE, MS 39756",Relocated
Clay,Cedar Bluff,CEDAR BLUFF - COMMUNITY CENTER,"197 HENRYVILLE ROAD, CEDAR BLUFF, MS 39741",Relocated
Clay,Central-West Point,COUNTY COMPLEX,"330 W. BROAD STREET, WEST POINT, MS 39773",Relocated
Clay,East-West Point,AMERICAN LEGION HUT,"515 WESTBROOK, WEST POINT, MS 39773",Relocated
Clay,North-West Point,RECREATION CENTER,"1032 WOOD STREET, WEST POINT, MS 39773",Relocated
Clay,Pheba,PHEBA - VOTER BUILDING,"21523 HIGHWAY 50 W, PHEBA, MS 39755",Relocated
Clay,Pine Bluff,PINE BLUFF VOTER BUILDING,"10498 COLONY ROAD, MANTEE, MS 39751",Relocated
Clay,Siloam,SILOAM - COMMUNITY CENTER,"2504 HIGHWAY 47, WEST POINT, MS 39773",Relocated
Clay,South-West Point,SOUTH-WEST POINT,"505 W. CHURCH HILL, WEST POINT, MS 39773",Relocated
Clay,Tibbee,TIBBEE - FIRE STATION,"2895 E. TIBBEE RD., WEST POINT, MS 39773",Relocated
Clay,Union Star,UNION STAR - FIRE STATION,"6423 WAVERLY ROAD, WEST POINT, MS 39773",Relocated
Clay,Vinton,VINTON - COUNTY SHED,"440 BARTON FERRY RD, WEST POINT, MS 39773",Relocated
Clay,West-West Point,HENRY HARRIS BUILDING,"227 COURT STREET, WEST POINT, MS 39773",Relocated
Coahoma,Friars Point,FRIARS POINT CITY HALL,,Relocated
Copiah,Crystal Springs West,CRYSTAL SPRINGS WEST,"26164 HWY 27, CRYSTAL SPRINGS, MS 39059",Relocated
Copiah,Wesson,WESSON,"1018 SPRING ST, WESSON, MS 39191",Relocated
Covington,Gilmer,HOT COFFEE TO MIZE ROAD,"480 LILLY VALLEY CH RD, MOUNT OLIVE, MS 39119",Closed
Covington,Mt Olive,MULTI-PURPOSE BUILDING,"301 S FOURTH ST, MOUNT OLIVE, MS 39119",Relocated
Covington,Seminary,DEPOT,"101 WILLOW ST, SEMINARY, MS 39479",Closed
Covington,South Collins,VO-TECH CENTER,"1200 S DOGWOOD ST, COLLINS, MS 39428",Relocated
Covington,West Collins,VFW,"204 S CHERRY AVE, COLLINS, MS 39428",Closed
Covington,Yawn,SALEM SCHOOL RD/SMITH COMMUNITY,"1496 SALEM CH RD, COLLINS, MS 39428",Closed
DeSoto,Civic Center,CIVIC CENTER,"4560 VENTURE DR., SOUTHAVEN, MS 38671",Closed
DeSoto,Elmore,SOUTHAVEN FIRE STATION #3,"6050 ELMORE RD, SOUTHAVEN, MS 38671",Relocated
DeSoto,Greenbrook South,SOUTHAVEN INTERMEDIATE SCHOOL,"175 RASCO ROAD, SOUTHAVEN, MS 38671",Relocated
DeSoto,Ingrams Mill,ACI FIRE STATION #2,"4735 RED BANKS RD S, BYHALIA, MS 38611",Relocated
DeSoto,Lewisburg,LEWISBURG HIGH SCHOOL,"1703 CRAFT RD, OLIVE BRANCH, MS 38654",Relocated
